광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,태백시,1.3,8.7
강원도,원주시,1.3,29.0
강원도,춘천시,1.3,12.7
강원도,강릉시,1.3,8.8
강원도,삼척시,1.3,4.8
강원도,평창군,1.3,4.8
강원도,속초시,1.3,4.6
강원도,횡성군,1.3,5.6
강원도,정선군,1.3,2.3
강원도,영월군,1.3,2.9
강원도,동해시,1.3,2.8
강원도,고성군,1.3,1.2
강원도,인제군,1.3,2.6
강원도,양양군,1.3,0.6
강원도,홍천군,1.3,4.0
강원도,화천군,1.3,1.2
강원도,철원군,1.3,1.3
강원도,양구군,1.3,2.2
경기도,화성시,4.7,7.3
경기도,부천시,4.7,4.9
경기도,남양주시,4.7,6.6
경기도,고양시 덕양구,4.7,2.7
경기도,평택시,4.7,5.0
경기도,오산시,4.7,2.1
경기도,광주시,4.7,5.3
경기도,광명시,4.7,2.8
경기도,용인시 기흥구,4.7,3.2
경기도,용인시 수지구,4.7,3.7
경기도,성남시 중원구,4.7,2.4
경기도,수원시 영통구,4.7,2.8
경기도,시흥시,4.7,3.5
경기도,김포시,4.7,3.0
경기도,수원시 권선구,4.7,2.0
경기도,안성시,4.7,2.2
경기도,이천시,4.7,1.8
경기도,파주시,4.7,2.3
경기도,성남시 분당구,4.7,3.7
경기도,안산시 단원구,4.7,2.2
경기도,용인시 처인구,4.7,1.7
경기도,고양시 일산동구,4.7,1.7
경기도,수원시 팔달구,4.7,1.1
경기도,수원시 장안구,4.7,1.9
경기도,성남시 수정구,4.7,1.4
경기도,과천시,4.7,0.5
경기도,안양시 만안구,4.7,1.3
경기도,여주시,4.7,1.7
경기도,양주시,4.7,2.3
경기도,하남시,4.7,2.1
경기도,군포시,4.7,1.8
경기도,구리시,4.7,1.6
경기도,양평군,4.7,1.1
경기도,포천시,4.7,0.6
경기도,안양시 동안구,4.7,1.5
경기도,의왕시,4.7,1.6
경기도,가평군,4.7,1.0
경기도,안산시 상록구,4.7,1.3
경기도,의정부시,4.7,2.0
경기도,동두천시,4.7,0.4
경기도,고양시 일산서구,4.7,1.3
경기도,연천군,4.7,0.1
경상남도,김해시,3.1,12.7
경상남도,창원시 의창구,3.1,9.8
경상남도,밀양시,3.1,5.8
경상남도,양산시,3.1,9.2
경상남도,창원시 성산구,3.1,9.2
경상남도,창원시 마산회원구,3.1,6.4
경상남도,거제시,3.1,8.0
경상남도,창원시 마산합포구,3.1,4.7
경상남도,거창군,3.1,2.5
경상남도,창녕군,3.1,7.0
경상남도,진주시,3.1,5.1
경상남도,창원시 진해구,3.1,5.3
경상남도,함안군,3.1,3.1
경상남도,사천시,3.1,1.6
경상남도,합천군,3.1,2.6
경상남도,통영시,3.1,2.3
경상남도,하동군,3.1,0.3
경상남도,남해군,3.1,0.8
경상남도,산청군,3.1,0.8
경상남도,고성군,3.1,0.4
경상남도,함양군,3.1,1.3
경상남도,의령군,3.1,1.3
경상북도,군위군,39.0,24.6
경상북도,안동시,39.0,20.7
경상북도,구미시,39.0,13.5
경상북도,경산시,39.0,7.2
경상북도,예천군,39.0,4.6
경상북도,칠곡군,39.0,4.4
경상북도,경주시,39.0,2.1
경상북도,영주시,39.0,2.9
경상북도,김천시,39.0,2.0
경상북도,영천시,39.0,2.0
경상북도,포항시 북구,39.0,2.1
경상북도,상주시,39.0,2.6
경상북도,포항시 남구,39.0,1.6
경상북도,청송군,39.0,1.4
경상북도,울진군,39.0,0.9
경상북도,봉화군,39.0,0.6
경상북도,성주군,39.0,1.0
