광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,영월군,1.3,7.5
강원도,원주시,1.3,28.5
강원도,삼척시,1.3,2.9
강원도,강릉시,1.3,13.7
강원도,춘천시,1.3,14.4
강원도,동해시,1.3,2.1
강원도,속초시,1.3,4.1
강원도,철원군,1.3,3.6
강원도,양양군,1.3,1.4
강원도,태백시,1.3,3.7
강원도,홍천군,1.3,1.6
강원도,횡성군,1.3,3.1
강원도,정선군,1.3,9.1
강원도,고성군,1.3,3.1
강원도,평창군,1.3,1.1
강원도,화천군,1.3,0.2
경기도,안성시,29.2,9.9
경기도,화성시,29.2,8.2
경기도,평택시,29.2,8.3
경기도,용인시 처인구,29.2,6.9
경기도,이천시,29.2,6.5
경기도,용인시 기흥구,29.2,3.3
경기도,부천시,29.2,3.3
경기도,시흥시,29.2,4.2
경기도,수원시 권선구,29.2,3.1
경기도,안양시 동안구,29.2,2.0
경기도,광주시,29.2,3.9
경기도,군포시,29.2,1.8
경기도,안산시 단원구,29.2,2.7
경기도,오산시,29.2,2.5
경기도,안양시 만안구,29.2,1.7
경기도,남양주시,29.2,2.2
경기도,김포시,29.2,1.9
경기도,파주시,29.2,1.3
경기도,여주시,29.2,2.0
경기도,수원시 장안구,29.2,1.7
경기도,용인시 수지구,29.2,2.0
경기도,수원시 팔달구,29.2,1.5
경기도,수원시 영통구,29.2,1.5
경기도,안산시 상록구,29.2,2.0
경기도,성남시 수정구,29.2,1.5
경기도,하남시,29.2,1.7
경기도,양주시,29.2,1.0
경기도,성남시 분당구,29.2,1.1
경기도,성남시 중원구,29.2,1.1
경기도,광명시,29.2,1.8
경기도,구리시,29.2,0.7
경기도,의정부시,29.2,1.0
경기도,고양시 덕양구,29.2,1.5
경기도,의왕시,29.2,1.4
경기도,고양시 일산서구,29.2,0.8
경기도,가평군,29.2,0.1
경기도,양평군,29.2,0.6
경기도,포천시,29.2,0.5
경기도,과천시,29.2,0.3
경기도,연천군,29.2,0.0
경기도,고양시 일산동구,29.2,0.4
경기도,동두천시,29.2,0.4
경상남도,김해시,1.6,19.7
경상남도,양산시,1.6,18.8
경상남도,창녕군,1.6,14.1
경상남도,창원시 성산구,1.6,6.3
경상남도,창원시 마산회원구,1.6,1.9
경상남도,합천군,1.6,2.9
경상남도,거제시,1.6,6.2
경상남도,진주시,1.6,3.1
경상남도,밀양시,1.6,3.0
경상남도,창원시 의창구,1.6,8.8
경상남도,창원시 진해구,1.6,6.8
경상남도,함안군,1.6,0.7
경상남도,거창군,1.6,0.9
경상남도,함양군,1.6,0.9
경상남도,산청군,1.6,0.2
경상남도,하동군,1.6,0.2
경상남도,남해군,1.6,2.1
경상남도,통영시,1.6,1.4
경상남도,창원시 마산합포구,1.6,0.3
경상남도,고성군,1.6,0.2
