순위,관광지명,주소,분류,
1,마산어시장,경남 창원시 마산합포구 복요리로 7-0,쇼핑,경상남도 창원시 마산합포구
2,신세계백화점/마산점,경남 창원시 마산합포구 합포로 251-0,쇼핑,경상남도 창원시 마산합포구
3,이마트/마산점,경남 창원시 마산합포구 서성로 3-0,쇼핑,경상남도 창원시 마산합포구
4,롯데마트/마산점,경남 창원시 마산합포구 신마산시장길 33-0,쇼핑,경상남도 창원시 마산합포구
5,롯데백화점/마산점,경남 창원시 마산합포구 동서동로 18-0,쇼핑,경상남도 창원시 마산합포구
6,저도스카이워크,경남 창원시 마산합포구 해양관광로 1872-60,기타관광지,경상남도 창원시 마산합포구
7,해양드라마세트장,경남 창원시 마산합포구,기타관광지,경상남도 창원시 마산합포구
8,광암해수욕장,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
9,마산로봇랜드,경남 창원시 마산합포구 로봇랜드로 250-0,기타관광지,경상남도 창원시 마산합포구
10,탑마트/마산점,경남 창원시 마산합포구 오동동14길 29-0,쇼핑,경상남도 창원시 마산합포구
11,가포해안변공원,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
12,원전선착장,경남 창원시 마산합포구 이순신로 0-0,자연관광지,경상남도 창원시 마산합포구
13,창원식자재마트,경남 창원시 마산합포구 해안대로 467-0,쇼핑,경상남도 창원시 마산합포구
14,창원식자재마트/신마산점,경남 창원시 마산합포구 해안대로 111-0,쇼핑,경상남도 창원시 마산합포구
15,GS더프레시/마산점,경남 창원시 마산합포구 월영동4길 10-0,쇼핑,경상남도 창원시 마산합포구
16,가포수변공원,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
17,원전방파제,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
18,돝섬유람선터미널,경남 창원시 마산합포구 제2부두로 56-0,자연관광지,경상남도 창원시 마산합포구
19,저도스카이워크,경남 창원시 마산합포구 해양관광로 1872-60,기타관광,경상남도 창원시 마산합포구
20,마산합포도서관,경남 창원시 마산합포구 월영동16길 22-0,문화시설,경상남도 창원시 마산합포구
21,역적촬영지/해양드라마세트장,경남 창원시 마산합포구,기타관광지,경상남도 창원시 마산합포구
22,저도비치로드,경남 창원시 마산합포구 하포길 2-0,기타관광지,경상남도 창원시 마산합포구
23,돝섬해피랜드,경남 창원시 마산합포구 제2부두로 56-0,휴양관광지,경상남도 창원시 마산합포구
24,욱곡방파제,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
25,마산도서관,경남 창원시 마산합포구 용마산길 12-0,문화시설,경상남도 창원시 마산합포구
26,마산가포신항,경남 창원시 마산합포구 드림베이대로 0-0,자연관광지,경상남도 창원시 마산합포구
27,해양드라마세트장,경남 창원시 마산합포구,문화관광,경상남도 창원시 마산합포구
28,기조낚시할인마트,경남 창원시 마산합포구 오산3길 107-1,쇼핑,경상남도 창원시 마산합포구
29,마산국화축제,경남 창원시 마산합포구 수산2길 157-0,기타관광지,경상남도 창원시 마산합포구
30,구복방파제,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
31,심리방파제,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
32,옥계방파제,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
33,장구선착장,경남 창원시 마산합포구 장구길 0-0,자연관광지,경상남도 창원시 마산합포구
34,용댐계곡,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
35,광암해수욕장,경남 창원시 마산합포구,자연관광,경상남도 창원시 마산합포구
36,마산골프랜드,경남 창원시 마산합포구 가포로 290-0,레포츠(육상/해상/항공),경상남도 창원시 마산합포구
37,마산부림시장,경남 창원시 마산합포구 동서북10길 37-0,쇼핑,경상남도 창원시 마산합포구
38,롯데시네마/프리미엄경남대,경남 창원시 마산합포구 해안대로 7-0,공연/행사,경상남도 창원시 마산합포구
39,문신미술관,경남 창원시 마산합포구 문신길 147-0,문화시설,경상남도 창원시 마산합포구
40,마산로봇랜드,경남 창원시 마산합포구 로봇랜드로 250-0,기타관광,경상남도 창원시 마산합포구
41,롯데하이마트/합포점,경남 창원시 마산합포구 해안대로 242-0,쇼핑,경상남도 창원시 마산합포구
42,서항지구친수공간,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
43,마산국화축제,경남 창원시 마산합포구 해안대로 168-0,기타관광지,경상남도 창원시 마산합포구
44,진동시장,경남 창원시 마산합포구 진동시장길 43-7,쇼핑,경상남도 창원시 마산합포구
45,3.15해양누리공원,경남 창원시 마산합포구,문화관광,경상남도 창원시 마산합포구
46,썬프라자,경남 창원시 마산합포구 합포로 250-0,쇼핑,경상남도 창원시 마산합포구
47,노브랜드/마산현동점,경남 창원시 마산합포구 현동4길 10-0,쇼핑,경상남도 창원시 마산합포구
48,하나로마트/진동농협,경남 창원시 마산합포구 삼진의거대로 654-0,쇼핑,경상남도 창원시 마산합포구
49,마산합포스포츠센터,경남 창원시 마산합포구 드림베이대로 56-0,레포츠(육상/해상/항공),경상남도 창원시 마산합포구
50,다이소/마산어시장점,경남 창원시 마산합포구 동서동2길 60-0,쇼핑,경상남도 창원시 마산합포구
51,창동예술촌,경남 창원시 마산합포구 오동서6길 24-0,기타관광지,경상남도 창원시 마산합포구
52,좋은이웃마트/마산점,경남 창원시 마산합포구 월영남로 11-0,쇼핑,경상남도 창원시 마산합포구
53,북마산가구거리,경남 창원시 마산합포구,쇼핑,경상남도 창원시 마산합포구
54,광암항,경남 창원시 마산합포구 광암해안길 53-0,자연관광지,경상남도 창원시 마산합포구
55,돝섬유람선터미널,경남 창원시 마산합포구 제2부두로 56-0,기타관광,경상남도 창원시 마산합포구
56,가포해안변공원,경남 창원시 마산합포구,문화관광,경상남도 창원시 마산합포구
57,다구방파제,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
58,마산국화축제/(창동오동동일원),경남 창원시 마산합포구 동서북16길 31-3,기타관광지,경상남도 창원시 마산합포구
59,거락계곡,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
60,다이소/마산현동점,경남 창원시 마산합포구 현동4길 4-0,쇼핑,경상남도 창원시 마산합포구
61,마산수협공판장,경남 창원시 마산합포구 수산1길 174-0,쇼핑,경상남도 창원시 마산합포구
62,오동동문화광장,경남 창원시 마산합포구 동서북16길 31-4,자연관광지,경상남도 창원시 마산합포구
63,하나로마트/마산농협,경남 창원시 마산합포구 해안대로 31-0,쇼핑,경상남도 창원시 마산합포구
64,원전선착장,경남 창원시 마산합포구 이순신로 0-0,기타관광,경상남도 창원시 마산합포구
65,산호공원,경남 창원시 마산합포구 용마산길 142-0,자연관광지,경상남도 창원시 마산합포구
66,돝섬,경남 창원시 마산합포구 제2부두로 56-0,자연관광지,경상남도 창원시 마산합포구
67,롯데시네마/프리미엄경남대,경남 창원시 마산합포구 해안대로 7-0,문화관광,경상남도 창원시 마산합포구
68,가포본동친수문화공원,경남 창원시 마산합포구 가포본동7길 11-13,자연관광지,경상남도 창원시 마산합포구
69,진마트/진동점,경남 창원시 마산합포구 삼진의거대로 624-0,쇼핑,경상남도 창원시 마산합포구
70,정법사,경남 창원시 마산합포구 몽고정길 50-0,역사관광지,경상남도 창원시 마산합포구
71,돝섬해피랜드,경남 창원시 마산합포구 제2부두로 56-0,문화관광,경상남도 창원시 마산합포구
72,역적촬영지/해양드라마세트장,경남 창원시 마산합포구,문화관광,경상남도 창원시 마산합포구
73,엑스풋살,경남 창원시 마산합포구 가포신항남로 12-1,레포츠(육상/해상/항공),경상남도 창원시 마산합포구
74,저도비치로드,경남 창원시 마산합포구 하포길 2-0,기타관광,경상남도 창원시 마산합포구
75,의림사,경남 창원시 마산합포구 의림로 382-0,역사관광지,경상남도 창원시 마산합포구
76,산호시장,경남 창원시 마산합포구 산호북15길 11-0,쇼핑,경상남도 창원시 마산합포구
77,합포수변공원,경남 창원시 마산합포구,문화관광,경상남도 창원시 마산합포구
78,창원시립마산박물관,경남 창원시 마산합포구 문신길 105-0,문화시설,경상남도 창원시 마산합포구
79,동행복권판매점/북마산복권전문점,경남 창원시 마산합포구 북성로 98-0,쇼핑,경상남도 창원시 마산합포구
80,3.15해양누리공원,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
81,메가박스/마산,경남 창원시 마산합포구 해안대로 51-0,공연/행사,경상남도 창원시 마산합포구
82,가포수변공원,경남 창원시 마산합포구,문화관광,경상남도 창원시 마산합포구
83,마산가포신항,경남 창원시 마산합포구 드림베이대로 0-0,자연관광,경상남도 창원시 마산합포구
84,설진방파제,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
85,청연암,경남 창원시 마산합포구 무학로 435-0,역사관광지,경상남도 창원시 마산합포구
86,문신미술관,경남 창원시 마산합포구 문신길 147-0,문화관광,경상남도 창원시 마산합포구
87,해암사,경남 창원시 마산합포구 괭이바다길 312-0,역사관광지,경상남도 창원시 마산합포구
88,하나로마트/진북농협,경남 창원시 마산합포구 지산5길 70-0,쇼핑,경상남도 창원시 마산합포구
89,마산55호공원,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
90,피싱레저,경남 창원시 마산합포구 석곡로 438-0,레포츠(육상/해상/항공),경상남도 창원시 마산합포구
91,마산항중앙부두공원,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
92,백운사,경남 창원시 마산합포구 서원곡1길 220-0,역사관광지,경상남도 창원시 마산합포구
93,창포해안길,경남 창원시 마산합포구 해양관광로 1872-60,기타관광지,경상남도 창원시 마산합포구
94,창원진동미더덕불꽃낙화축제,경남 창원시 마산합포구,기타관광지,경상남도 창원시 마산합포구
95,하나로마트/구산농협,경남 창원시 마산합포구 해양관광로 1471-0,쇼핑,경상남도 창원시 마산합포구
96,삼진운동장,경남 창원시 마산합포구 삼진의거대로 440-0,기타관광지,경상남도 창원시 마산합포구
97,용댐계곡,경남 창원시 마산합포구,자연관광,경상남도 창원시 마산합포구
98,조선낚시프라자,경남 창원시 마산합포구 태봉1길 3-0,레포츠(육상/해상/항공),경상남도 창원시 마산합포구
99,저도,경남 창원시 마산합포구,자연관광지,경상남도 창원시 마산합포구
100,경화낚시,경남 창원시 마산합포구 구산로 505-0,레포츠(육상/해상/항공),경상남도 창원시 마산합포구
