광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,1.4,26.2
강원도,춘천시,1.4,15.7
강원도,강릉시,1.4,14.7
강원도,동해시,1.4,5.2
강원도,삼척시,1.4,3.3
강원도,인제군,1.4,2.9
강원도,속초시,1.4,5.0
강원도,고성군,1.4,2.3
강원도,횡성군,1.4,2.9
강원도,홍천군,1.4,3.9
강원도,철원군,1.4,2.1
강원도,양양군,1.4,2.9
강원도,태백시,1.4,3.6
강원도,영월군,1.4,1.9
강원도,평창군,1.4,2.5
강원도,화천군,1.4,1.7
강원도,양구군,1.4,1.0
강원도,정선군,1.4,2.4
경기도,화성시,14.2,6.5
경기도,부천시,14.2,4.7
경기도,성남시 분당구,14.2,5.7
경기도,남양주시,14.2,5.0
경기도,용인시 기흥구,14.2,4.5
경기도,평택시,14.2,4.4
경기도,용인시 수지구,14.2,3.4
경기도,광주시,14.2,3.2
경기도,고양시 덕양구,14.2,3.3
경기도,김포시,14.2,3.3
경기도,수원시 영통구,14.2,3.0
경기도,안양시 동안구,14.2,2.4
경기도,하남시,14.2,2.8
경기도,시흥시,14.2,2.4
경기도,의정부시,14.2,2.8
경기도,수원시 권선구,14.2,2.7
경기도,안산시 단원구,14.2,1.9
경기도,광명시,14.2,1.7
경기도,군포시,14.2,2.0
경기도,용인시 처인구,14.2,2.5
경기도,고양시 일산서구,14.2,1.9
경기도,파주시,14.2,2.4
경기도,안산시 상록구,14.2,1.8
경기도,수원시 장안구,14.2,1.8
경기도,성남시 수정구,14.2,1.7
경기도,고양시 일산동구,14.2,2.4
경기도,수원시 팔달구,14.2,1.5
경기도,이천시,14.2,2.0
경기도,오산시,14.2,1.6
경기도,의왕시,14.2,1.3
경기도,구리시,14.2,1.7
경기도,안양시 만안구,14.2,1.4
경기도,안성시,14.2,1.9
경기도,성남시 중원구,14.2,1.4
경기도,양주시,14.2,1.5
경기도,여주시,14.2,1.1
경기도,과천시,14.2,0.8
경기도,양평군,14.2,1.2
경기도,포천시,14.2,1.0
경기도,동두천시,14.2,0.5
경기도,가평군,14.2,0.5
