순위,관광지명,주소,분류,
1,이마트/문현점,부산 남구 전포대로91번길 47-0,쇼핑,부산광역시 남구
2,오륙도스카이워크,부산 남구 오륙도로 137-0,기타관광지,부산광역시 남구
3,이기대수변공원,부산 남구 이기대공원로 105-20,자연관광지,부산광역시 남구
4,황령산전망대,부산 남구 못골로 15-0,기타관광지,부산광역시 남구
5,W스퀘어,부산 남구 분포로 145-0,쇼핑,부산광역시 남구
6,홈플러스/부산감만점,부산 남구 우암로 124-0,쇼핑,부산광역시 남구
7,UN기념공원,부산 남구,자연관광지,부산광역시 남구
8,오륙도,부산 남구,자연관광지,부산광역시 남구
9,신선대부두,부산 남구,자연관광지,부산광역시 남구
10,감만시민공원,부산 남구,자연관광지,부산광역시 남구
11,오륙도해맞이공원,부산 남구,자연관광지,부산광역시 남구
12,캐니언파크/부산,부산 남구 전포대로 133-0,휴양관광지,부산광역시 남구
13,감만부두,부산 남구,자연관광지,부산광역시 남구
14,우암동도시숲,부산 남구 동항로106번가길 6-6,자연관광지,부산광역시 남구
15,메가마트/문현점,부산 남구 수영로39번길 2-5,쇼핑,부산광역시 남구
16,BIFC몰,부산 남구 문현금융로 40-0,쇼핑,부산광역시 남구
17,오륙도스카이워크,부산 남구 오륙도로 137-0,문화관광,부산광역시 남구
18,평화공원,부산 남구,자연관광지,부산광역시 남구
19,부산박물관,부산 남구 유엔평화로 63-0,문화시설,부산광역시 남구
20,못골시장,부산 남구 못골로 66-1,쇼핑,부산광역시 남구
21,이기대해안산책로,부산 남구,레포츠(육상/해상/항공),부산광역시 남구
22,백운포체육공원,부산 남구 백운포로 34-0,자연관광지,부산광역시 남구
23,이기대수변공원,부산 남구 이기대공원로 105-20,문화관광,부산광역시 남구
24,남구도서관,부산 남구 수영로267번길 61-0,문화시설,부산광역시 남구
25,드림씨어터,부산 남구 전포대로 133-0,공연/행사,부산광역시 남구
26,하나로마트/용호점,부산 남구 용호로 228-0,쇼핑,부산광역시 남구
27,CGV/대연,부산 남구 수영로 305-0,공연/행사,부산광역시 남구
28,부산항/제7부두,부산 남구,자연관광지,부산광역시 남구
29,부산골프클럽,부산 남구 우암로 375-0,레포츠(육상/해상/항공),부산광역시 남구
30,시티원골프연습장,부산 남구 신선로 468-0,레포츠(육상/해상/항공),부산광역시 남구
31,백운포체육공원,부산 남구 백운포로 108-0,자연관광지,부산광역시 남구
32,LG전자서비스센터/대연점,부산 남구 수영로 324-0,쇼핑,부산광역시 남구
33,황령산전망대,부산 남구 못골로 15-0,문화관광,부산광역시 남구
34,남구국민체육센터,부산 남구 백운포로 110-0,기타관광지,부산광역시 남구
35,교보문고/경성대부경대센터,부산 남구 수영로 324-0,쇼핑,부산광역시 남구
36,남구실내빙상장,부산 남구 백운포로 106-0,레포츠(육상/해상/항공),부산광역시 남구
37,IFC/부산몰,부산 남구 전포대로 133-0,쇼핑,부산광역시 남구
38,다이소/부산용호점,부산 남구 용호로 133-0,쇼핑,부산광역시 남구
39,신선대부두,부산 남구,자연관광,부산광역시 남구
40,오륙도,부산 남구,자연관광,부산광역시 남구
41,다이소/부산대연점,부산 남구 수영로 184-0,쇼핑,부산광역시 남구
42,UN기념공원,부산 남구,문화관광,부산광역시 남구
43,이기대섭자리,부산 남구,기타관광지,부산광역시 남구
44,동광골프연습장,부산 남구 황령대로319번가길 82-28,레포츠(육상/해상/항공),부산광역시 남구
45,분포도서관,부산 남구 분포로 97-0,문화시설,부산광역시 남구
46,홈플러스익스프레스/메트로시티점,부산 남구 분포로 113-0,쇼핑,부산광역시 남구
47,뽀로로파크/부산W스퀘어점,부산 남구 분포로 145-0,레포츠(육상/해상/항공),부산광역시 남구
48,다이소/부산문현점,부산 남구 수영로 45-0,쇼핑,부산광역시 남구
49,감만시민부두,부산 남구,자연관광지,부산광역시 남구
50,문현BB골프클럽,부산 남구 수영로39번길 2-21,레포츠(육상/해상/항공),부산광역시 남구
51,탑마트/감만점,부산 남구 홍곡로 3-0,쇼핑,부산광역시 남구
52,감만부두,부산 남구,자연관광,부산광역시 남구
53,용호시장,부산 남구 동명로152번길 93-0,쇼핑,부산광역시 남구
54,국립일제강제동원역사관,부산 남구 홍곡로320번길 100-0,문화시설,부산광역시 남구
55,오륙도해맞이공원,부산 남구,문화관광,부산광역시 남구
56,대연킴스볼링장,부산 남구 석포로 116-0,레포츠(육상/해상/항공),부산광역시 남구
57,아토즈캠핑/부산점,부산 남구 신선로 446-0,쇼핑,부산광역시 남구
58,대연혁신지구복합상가,부산 남구 수영로 345-0,쇼핑,부산광역시 남구
59,국군복지단/오륙도마트,부산 남구 무민사로 17-0,쇼핑,부산광역시 남구
60,남광시장,부산 남구 홍곡로 359-0,쇼핑,부산광역시 남구
61,부산박물관,부산 남구 유엔평화로 63-0,문화관광,부산광역시 남구
62,캐니언파크/부산,부산 남구 전포대로 133-0,문화관광,부산광역시 남구
63,다보네가구,부산 남구 이기대공원로 450-0,쇼핑,부산광역시 남구
64,GS하이츠자이상가,부산 남구 신선로 566-0,쇼핑,부산광역시 남구
65,백운포체육공원,부산 남구 백운포로 34-0,문화관광,부산광역시 남구
66,동명불원,부산 남구 동명로 57-0,역사관광지,부산광역시 남구
67,부산예술회관,부산 남구 용소로 78-0,문화시설,부산광역시 남구
68,롯데프리미엄푸드마켓/용호점,부산 남구 분포로 145-0,쇼핑,부산광역시 남구
69,감만시민공원,부산 남구,문화관광,부산광역시 남구
70,골마켓/부산점,부산 남구 유엔로 167-0,쇼핑,부산광역시 남구
71,평화공원,부산 남구,문화관광,부산광역시 남구
72,유엔평화기념관,부산 남구 홍곡로320번길 106-0,문화시설,부산광역시 남구
73,전자랜드프라이스킹/대연점,부산 남구 수영로 278-0,쇼핑,부산광역시 남구
74,부산항/제8부두,부산 남구,자연관광지,부산광역시 남구
75,롯데슈퍼/대연점,부산 남구 못골로 78-0,쇼핑,부산광역시 남구
76,엘지메트로시티,부산 남구 분포로 111-0,쇼핑,부산광역시 남구
77,롯데하이마트/대연점,부산 남구 수영로 182-0,쇼핑,부산광역시 남구
78,부산문화회관/대극장,부산 남구 유엔평화로76번길 1-0,공연/행사,부산광역시 남구
79,용호별빛공원,부산 남구 분포로 66-38,자연관광지,부산광역시 남구
80,부산항감만터미널,부산 남구 북항로 105-0,자연관광지,부산광역시 남구
81,인각사,부산 남구 진남로 234-0,역사관광지,부산광역시 남구
82,우암동도시숲,부산 남구 동항로106번가길 6-6,문화관광,부산광역시 남구
83,부산항/제7부두,부산 남구,자연관광,부산광역시 남구
84,다이소/부산경성대점,부산 남구 수영로 306-0,쇼핑,부산광역시 남구
85,유엔조각공원,부산 남구,자연관광지,부산광역시 남구
86,CGV/대연,부산 남구 수영로 305-0,문화관광,부산광역시 남구
87,신선대,부산 남구,역사관광지,부산광역시 남구
88,이기대해안산책로,부산 남구,레저스포츠,부산광역시 남구
89,감만시장,부산 남구 홍곡로 15-6,쇼핑,부산광역시 남구
90,홈플러스익스프레스/문현점,부산 남구 고동골로 66-0,쇼핑,부산광역시 남구
91,부산항신선대터미널,부산 남구 신선로 294-0,자연관광지,부산광역시 남구
92,오륙도유람선터미널,부산 남구,자연관광지,부산광역시 남구
93,동명부두,부산 남구 북항로 17-0,자연관광지,부산광역시 남구
94,아트박스/부산경성대점,부산 남구 수영로 296-0,쇼핑,부산광역시 남구
95,드림씨어터,부산 남구 전포대로 133-0,문화관광,부산광역시 남구
96,감만창의문화촌,부산 남구 우암로 84-1,문화시설,부산광역시 남구
97,GS25/용당해군점,부산 남구 신선로 393-9,쇼핑,부산광역시 남구
98,세븐일레븐/부산감만부두점,부산 남구,쇼핑,부산광역시 남구
99,유엔평화기념관,부산 남구 홍곡로320번길 106-0,문화관광,부산광역시 남구
100,신감만부두,부산 남구,자연관광지,부산광역시 남구
