유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
인천광역시 남동구 , 인천광역시 미추홀구,21.1,1
인천광역시 연수구 , 인천광역시 미추홀구,14.9,1
인천광역시 중구 , 인천광역시 미추홀구,14.1,1
인천광역시 서구 , 인천광역시 미추홀구,11.9,1
인천광역시 부평구 , 인천광역시 미추홀구,7.5,1
인천광역시 동구 , 인천광역시 미추홀구,5.9,1
경기도 부천시 , 인천광역시 미추홀구,3.1,1
경기도 시흥시 , 인천광역시 미추홀구,2.6,1
인천광역시 계양구 , 인천광역시 미추홀구,2.6,1
경기도 김포시 , 인천광역시 미추홀구,1.4,1
서울특별시 강서구 , 인천광역시 미추홀구,0.8,1
경기도 화성시 , 인천광역시 미추홀구,0.7,1
서울특별시 영등포구 , 인천광역시 미추홀구,0.7,1
경기도 광명시 , 인천광역시 미추홀구,0.6,1
경기도 안산시 단원구 , 인천광역시 미추홀구,0.6,1
서울특별시 구로구 , 인천광역시 미추홀구,0.5,1
서울특별시 양천구 , 인천광역시 미추홀구,0.5,1
경기도 고양시 덕양구 , 인천광역시 미추홀구,0.5,1
서울특별시 강남구 , 인천광역시 미추홀구,0.5,1
인천광역시 남구 , 인천광역시 미추홀구,0.4,1
 인천광역시 미추홀구,인천광역시 연수구,26.0,2
 인천광역시 미추홀구,인천광역시 남동구,21.9,2
 인천광역시 미추홀구,인천광역시 중구,14.0,2
 인천광역시 미추홀구,인천광역시 서구,7.1,2
 인천광역시 미추홀구,인천광역시 부평구,5.0,2
 인천광역시 미추홀구,경기도 시흥시,2.9,2
 인천광역시 미추홀구,경기도 부천시,2.4,2
 인천광역시 미추홀구,인천광역시 동구,2.0,2
 인천광역시 미추홀구,인천광역시 계양구,1.5,2
 인천광역시 미추홀구,경기도 김포시,1.4,2
 인천광역시 미추홀구,경기도 광명시,0.9,2
 인천광역시 미추홀구,인천광역시 강화군,0.9,2
 인천광역시 미추홀구,서울특별시 강서구,0.7,2
 인천광역시 미추홀구,경기도 파주시,0.7,2
 인천광역시 미추홀구,경기도 안산시 단원구,0.7,2
 인천광역시 미추홀구,서울특별시 영등포구,0.7,2
 인천광역시 미추홀구,서울특별시 강남구,0.7,2
 인천광역시 미추홀구,경기도 고양시 덕양구,0.6,2
 인천광역시 미추홀구,서울특별시 마포구,0.5,2
 인천광역시 미추홀구,경기도 화성시,0.5,2
