광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,0.8,31.4
강원도,춘천시,0.8,16.8
강원도,속초시,0.8,3.7
강원도,홍천군,0.8,3.7
강원도,삼척시,0.8,5.7
강원도,동해시,0.8,4.4
강원도,태백시,0.8,4.3
강원도,양양군,0.8,1.5
강원도,화천군,0.8,1.3
강원도,영월군,0.8,2.6
강원도,강릉시,0.8,8.8
강원도,횡성군,0.8,2.4
강원도,철원군,0.8,2.4
강원도,인제군,0.8,1.7
강원도,정선군,0.8,2.4
강원도,평창군,0.8,3.3
강원도,양구군,0.8,0.9
강원도,고성군,0.8,2.6
경기도,부천시,9.9,5.4
경기도,남양주시,9.9,5.6
경기도,화성시,9.9,6.6
경기도,평택시,9.9,5.0
경기도,시흥시,9.9,3.3
경기도,광주시,9.9,3.0
경기도,성남시 분당구,9.9,4.7
경기도,용인시 기흥구,9.9,3.4
경기도,수원시 권선구,9.9,2.9
경기도,오산시,9.9,2.1
경기도,용인시 수지구,9.9,2.9
경기도,고양시 일산서구,9.9,2.0
경기도,의정부시,9.9,3.2
경기도,안산시 상록구,9.9,1.4
경기도,고양시 덕양구,9.9,2.6
경기도,광명시,9.9,1.5
경기도,의왕시,9.9,1.3
경기도,이천시,9.9,2.0
경기도,성남시 중원구,9.9,1.4
경기도,파주시,9.9,2.8
경기도,고양시 일산동구,9.9,2.1
경기도,성남시 수정구,9.9,1.4
경기도,용인시 처인구,9.9,2.3
경기도,하남시,9.9,2.4
경기도,수원시 팔달구,9.9,1.6
경기도,안산시 단원구,9.9,2.0
경기도,안성시,9.9,1.7
경기도,김포시,9.9,3.4
경기도,수원시 영통구,9.9,2.6
경기도,양주시,9.9,1.6
경기도,군포시,9.9,2.1
경기도,안양시 만안구,9.9,1.6
경기도,안양시 동안구,9.9,2.5
경기도,구리시,9.9,1.6
경기도,양평군,9.9,1.3
경기도,동두천시,9.9,0.7
경기도,수원시 장안구,9.9,1.7
경기도,가평군,9.9,1.3
경기도,과천시,9.9,0.7
경기도,여주시,9.9,0.9
경기도,포천시,9.9,0.9
경기도,연천군,9.9,0.6
경상남도,거제시,39.9,44.6
경상남도,통영시,39.9,10.4
경상남도,김해시,39.9,8.4
경상남도,고성군,39.9,2.7
경상남도,창원시 성산구,39.9,4.2
경상남도,진주시,39.9,4.6
경상남도,양산시,39.9,3.9
경상남도,창원시 의창구,39.9,3.6
경상남도,창원시 마산회원구,39.9,3.3
경상남도,창원시 마산합포구,39.9,4.2
경상남도,사천시,39.9,1.7
경상남도,창원시 진해구,39.9,2.9
경상남도,함안군,39.9,1.3
경상남도,밀양시,39.9,0.9
경상남도,창녕군,39.9,0.6
경상남도,합천군,39.9,0.4
경상남도,함양군,39.9,0.3
경상남도,하동군,39.9,0.2
경상남도,거창군,39.9,0.6
경상남도,남해군,39.9,0.5
경상남도,산청군,39.9,0.4
경상남도,의령군,39.9,0.4
경상북도,경산시,4.3,13.7
경상북도,구미시,4.3,15.0
경상북도,경주시,4.3,12.5
경상북도,포항시 남구,4.3,7.6
경상북도,포항시 북구,4.3,9.2
경상북도,영천시,4.3,3.1
경상북도,상주시,4.3,5.0
경상북도,영주시,4.3,2.7
경상북도,칠곡군,4.3,5.2
경상북도,고령군,4.3,1.8
경상북도,청송군,4.3,1.6
경상북도,청도군,4.3,1.9
경상북도,김천시,4.3,5.0
경상북도,울릉군,4.3,0.2
경상북도,안동시,4.3,4.9
경상북도,문경시,4.3,1.8
