광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,2.3,22.4
강원도,춘천시,2.3,20.0
강원도,강릉시,2.3,15.8
강원도,인제군,2.3,2.3
강원도,양양군,2.3,2.9
강원도,태백시,2.3,3.5
강원도,삼척시,2.3,3.5
강원도,화천군,2.3,1.5
강원도,횡성군,2.3,2.5
강원도,철원군,2.3,2.2
강원도,정선군,2.3,1.9
강원도,속초시,2.3,5.4
강원도,평창군,2.3,2.7
강원도,양구군,2.3,1.4
강원도,동해시,2.3,4.3
강원도,홍천군,2.3,4.0
강원도,영월군,2.3,1.8
강원도,고성군,2.3,2.0
경기도,화성시,25.2,6.5
경기도,성남시 분당구,25.2,6.1
경기도,부천시,25.2,5.7
경기도,김포시,25.2,3.8
경기도,고양시 덕양구,25.2,3.6
경기도,고양시 일산동구,25.2,2.8
경기도,남양주시,25.2,4.8
경기도,용인시 수지구,25.2,3.1
경기도,수원시 영통구,25.2,3.7
경기도,평택시,25.2,3.3
경기도,광주시,25.2,2.8
경기도,용인시 기흥구,25.2,4.3
경기도,의정부시,25.2,3.1
경기도,시흥시,25.2,2.6
경기도,광명시,25.2,2.2
경기도,파주시,25.2,2.5
경기도,군포시,25.2,2.2
경기도,수원시 장안구,25.2,2.1
경기도,안양시 동안구,25.2,2.7
경기도,안산시 상록구,25.2,1.7
경기도,의왕시,25.2,1.3
경기도,수원시 권선구,25.2,2.6
경기도,구리시,25.2,1.9
경기도,안양시 만안구,25.2,1.7
경기도,하남시,25.2,2.6
경기도,오산시,25.2,1.6
경기도,고양시 일산서구,25.2,2.0
경기도,수원시 팔달구,25.2,1.6
경기도,안성시,25.2,1.3
경기도,성남시 수정구,25.2,1.9
경기도,안산시 단원구,25.2,1.7
경기도,용인시 처인구,25.2,1.7
경기도,이천시,25.2,1.6
경기도,과천시,25.2,1.0
경기도,성남시 중원구,25.2,1.5
경기도,양평군,25.2,0.9
경기도,포천시,25.2,0.7
경기도,양주시,25.2,1.1
경기도,여주시,25.2,0.9
경기도,동두천시,25.2,0.5
경기도,연천군,25.2,0.2
경기도,가평군,25.2,0.4
경상남도,창원시 성산구,4.8,10.6
경상남도,진주시,4.8,10.2
경상남도,김해시,4.8,16.2
경상남도,양산시,4.8,9.4
경상남도,창원시 마산회원구,4.8,5.6
경상남도,거제시,4.8,11.3
경상남도,창원시 마산합포구,4.8,4.2
경상남도,창원시 의창구,4.8,8.0
경상남도,밀양시,4.8,3.0
경상남도,하동군,4.8,0.7
경상남도,함안군,4.8,2.1
경상남도,창원시 진해구,4.8,4.3
경상남도,창녕군,4.8,1.5
경상남도,사천시,4.8,2.4
경상남도,합천군,4.8,1.0
경상남도,거창군,4.8,1.4
경상남도,고성군,4.8,1.2
경상남도,통영시,4.8,3.2
경상남도,산청군,4.8,0.7
경상남도,함양군,4.8,1.8
경상남도,의령군,4.8,0.4
경상남도,남해군,4.8,0.7
경상북도,경산시,3.8,13.6
경상북도,구미시,3.8,15.2
경상북도,포항시 남구,3.8,9.3
경상북도,경주시,3.8,12.1
경상북도,안동시,3.8,8.0
경상북도,포항시 북구,3.8,11.6
경상북도,김천시,3.8,4.6
경상북도,영천시,3.8,2.8
경상북도,영주시,3.8,3.6
경상북도,예천군,3.8,2.5
경상북도,칠곡군,3.8,3.7
경상북도,성주군,3.8,0.9
경상북도,상주시,3.8,2.7
경상북도,영양군,3.8,0.3
경상북도,청도군,3.8,1.4
경상북도,의성군,3.8,1.0
경상북도,청송군,3.8,0.6
경상북도,고령군,3.8,0.9
경상북도,영덕군,3.8,0.9
경상북도,울릉군,3.8,0.4
경상북도,울진군,3.8,1.3
경상북도,문경시,3.8,1.7
경상북도,봉화군,3.8,0.6
경상북도,군위군,3.8,0.4
광주광역시,광산구,2.5,27.0
광주광역시,북구,2.5,27.8
광주광역시,서구,2.5,20.7
광주광역시,남구,2.5,15.9
광주광역시,동구,2.5,8.6
대구광역시,수성구,4.8,23.3
대구광역시,북구,4.8,18.7
대구광역시,달성군,4.8,8.9
대구광역시,달서구,4.8,22.5
대구광역시,동구,4.8,14.3
대구광역시,남구,4.8,4.9
대구광역시,서구,4.8,3.5
대구광역시,중구,4.8,3.9
대전광역시,서구,3.1,32.6
대전광역시,유성구,3.1,33.5
대전광역시,동구,3.1,12.4
대전광역시,중구,3.1,13.2
대전광역시,대덕구,3.1,8.2
부산광역시,해운대구,5.7,12.8
부산광역시,남구,5.7,8.6
부산광역시,동래구,5.7,9.3
부산광역시,부산진구,5.7,10.1
부산광역시,북구,5.7,8.3
부산광역시,금정구,5.7,8.2
부산광역시,사하구,5.7,7.0
부산광역시,수영구,5.7,5.9
부산광역시,사상구,5.7,5.6
부산광역시,동구,5.7,2.0
부산광역시,강서구,5.7,4.1
부산광역시,기장군,5.7,5.0
부산광역시,연제구,5.7,7.0
부산광역시,영도구,5.7,2.3
부산광역시,서구,5.7,2.3
부산광역시,중구,5.7,1.5
서울특별시,송파구,22.8,8.0
서울특별시,강남구,22.8,6.2
서울특별시,서초구,22.8,5.0
서울특별시,강서구,22.8,5.7
서울특별시,마포구,22.8,5.2
서울특별시,관악구,22.8,5.3
서울특별시,노원구,22.8,5.2
서울특별시,양천구,22.8,3.9
서울특별시,용산구,22.8,3.0
서울특별시,동작구,22.8,4.3
서울특별시,영등포구,22.8,4.5
서울특별시,강동구,22.8,5.0
서울특별시,성북구,22.8,4.4
서울특별시,은평구,22.8,4.7
서울특별시,서대문구,22.8,3.6
서울특별시,동대문구,22.8,3.0
서울특별시,구로구,22.8,3.6
서울특별시,광진구,22.8,3.9
서울특별시,성동구,22.8,3.3
서울특별시,종로구,22.8,1.9
서울특별시,중랑구,22.8,2.9
서울특별시,중구,22.8,1.4
서울특별시,도봉구,22.8,2.6
서울특별시,강북구,22.8,1.9
서울특별시,금천구,22.8,1.6
세종특별자치시,세종특별자치시,1.0,100.0
울산광역시,남구,2.0,29.9
울산광역시,중구,2.0,17.2
울산광역시,북구,2.0,20.1
울산광역시,울주군,2.0,21.0
울산광역시,동구,2.0,11.8
인천광역시,서구,4.6,20.5
인천광역시,연수구,4.6,18.3
인천광역시,부평구,4.6,14.8
인천광역시,남동구,4.6,15.8
인천광역시,미추홀구,4.6,10.6
인천광역시,계양구,4.6,9.6
인천광역시,중구,4.6,6.0
인천광역시,동구,4.6,1.2
인천광역시,강화군,4.6,2.8
인천광역시,옹진군,4.6,0.3
전라남도,순천시,2.4,16.8
전라남도,나주시,2.4,8.2
전라남도,여수시,2.4,16.1
전라남도,목포시,2.4,14.3
전라남도,무안군,2.4,6.3
전라남도,장성군,2.4,2.0
전라남도,곡성군,2.4,0.9
전라남도,고흥군,2.4,1.8
전라남도,영암군,2.4,2.3
전라남도,해남군,2.4,2.9
전라남도,화순군,2.4,3.3
전라남도,영광군,2.4,2.9
전라남도,담양군,2.4,2.9
전라남도,광양시,2.4,6.8
전라남도,강진군,2.4,2.0
전라남도,보성군,2.4,1.7
전라남도,장흥군,2.4,2.7
전라남도,완도군,2.4,2.3
전라남도,함평군,2.4,0.7
전라남도,구례군,2.4,1.1
전라남도,진도군,2.4,1.2
전라남도,신안군,2.4,0.8
전라북도,전주시 덕진구,3.0,21.6
전라북도,전주시 완산구,3.0,22.6
전라북도,군산시,3.0,14.2
전라북도,익산시,3.0,18.0
전라북도,남원시,3.0,3.6
전라북도,김제시,3.0,2.0
전라북도,부안군,3.0,2.0
전라북도,고창군,3.0,2.7
전라북도,정읍시,3.0,3.9
전라북도,장수군,3.0,0.8
전라북도,완주군,3.0,5.1
전라북도,진안군,3.0,0.7
전라북도,임실군,3.0,0.6
전라북도,무주군,3.0,1.0
전라북도,순창군,3.0,1.0
제주특별자치도,서귀포시,5.6,98.2
제주특별자치도,제주시,5.6,1.8
충청남도,천안시 서북구,3.3,20.7
충청남도,아산시,3.3,16.7
충청남도,천안시 동남구,3.3,12.9
충청남도,논산시,3.3,5.7
충청남도,서산시,3.3,7.0
충청남도,당진시,3.3,7.9
충청남도,예산군,3.3,3.6
충청남도,공주시,3.3,4.5
충청남도,계룡시,3.3,2.3
충청남도,태안군,3.3,2.4
충청남도,홍성군,3.3,4.0
충청남도,서천군,3.3,2.2
충청남도,금산군,3.3,1.8
충청남도,보령시,3.3,4.0
충청남도,부여군,3.3,2.9
충청남도,청양군,3.3,1.5
충청북도,청주시 서원구,3.0,16.8
충청북도,청주시 흥덕구,3.0,19.7
충청북도,청주시 청원구,3.0,13.7
충청북도,청주시 상당구,3.0,9.9
충청북도,제천시,3.0,5.4
충청북도,충주시,3.0,11.9
충청북도,음성군,3.0,5.7
충청북도,진천군,3.0,3.8
충청북도,옥천군,3.0,2.8
충청북도,증평군,3.0,2.6
충청북도,보은군,3.0,1.5
충청북도,영동군,3.0,3.5
충청북도,괴산군,3.0,1.8
충청북도,단양군,3.0,0.9
