순위,관광지명,주소,분류,
1,해미읍성,충남 서산시 남문2로 143-0,역사관광지,충청남도 서산시
2,간월암,충남 서산시 간월도1길 119-29,역사관광지,충청남도 서산시
3,삼길포항,충남 서산시,자연관광지,충청남도 서산시
4,개심사,충남 서산시 개심사로 321-86,역사관광지,충청남도 서산시
5,이마트/서산점,충남 서산시 서해로 3685-0,쇼핑,충청남도 서산시
6,서산동부전통시장,충남 서산시 시장3길 3-0,쇼핑,충청남도 서산시
7,간월도,충남 서산시,자연관광지,충청남도 서산시
8,롯데마트/서산점,충남 서산시 충의로 27-0,쇼핑,충청남도 서산시
9,서산마애여래삼존상,충남 서산시 마애삼존불길 65-13,역사관광지,충청남도 서산시
10,삼길포어시장,충남 서산시 삼길포1로 0-0,쇼핑,충청남도 서산시
11,서산유기방가옥,충남 서산시 이문안길 72-10,역사관광지,충청남도 서산시
12,벌천포해수욕장,충남 서산시,자연관광지,충청남도 서산시
13,황금산,충남 서산시,자연관광지,충청남도 서산시
14,간월암,충남 서산시 간월도1길 119-29,역사관광,충청남도 서산시
15,삼길포항,충남 서산시,자연관광,충청남도 서산시
16,문수사,충남 서산시 문수골길 201-0,역사관광지,충청남도 서산시
17,해미읍성,충남 서산시 남문2로 143-0,역사관광,충청남도 서산시
18,웅도,충남 서산시,자연관광지,충청남도 서산시
19,대산항,충남 서산시 대죽1로 301-15,자연관광지,충청남도 서산시
20,다이소/서산본점,충남 서산시 서해로 3359-0,쇼핑,충청남도 서산시
21,간월도선착장,충남 서산시 간월도1길 0-0,자연관광지,충청남도 서산시
22,중앙호수공원,충남 서산시,자연관광지,충청남도 서산시
23,서산버드랜드,충남 서산시 천수만로 655-73,기타관광지,충청남도 서산시
24,부석사,충남 서산시 부석사길 243-0,역사관광지,충청남도 서산시
25,하나로마트/서산농협본점,충남 서산시 동서1로 157-0,쇼핑,충청남도 서산시
26,개심사,충남 서산시 개심사로 321-86,역사관광,충청남도 서산시
27,하나로마트/대산농협본점,충남 서산시 충의로 2001-0,쇼핑,충청남도 서산시
28,창리선착장,충남 서산시 창리2길 66-0,자연관광지,충청남도 서산시
29,간월도,충남 서산시,자연관광,충청남도 서산시
30,다이소/서산동문점,충남 서산시 율지18로 32-0,쇼핑,충청남도 서산시
