광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,0.6,30.6
강원도,춘천시,0.6,16.7
강원도,강릉시,0.6,15.6
강원도,태백시,0.6,2.3
강원도,횡성군,0.6,1.9
강원도,인제군,0.6,2.9
강원도,철원군,0.6,1.9
강원도,속초시,0.6,2.5
강원도,홍천군,0.6,2.8
강원도,양구군,0.6,1.7
강원도,삼척시,0.6,2.8
강원도,고성군,0.6,1.5
강원도,평창군,0.6,3.1
강원도,동해시,0.6,5.5
강원도,영월군,0.6,4.0
강원도,양양군,0.6,1.6
강원도,화천군,0.6,1.4
강원도,정선군,0.6,1.2
경기도,이천시,8.7,11.4
경기도,화성시,8.7,7.8
경기도,평택시,8.7,12.3
경기도,수원시 권선구,8.7,2.7
경기도,용인시 기흥구,8.7,2.9
경기도,남양주시,8.7,3.6
경기도,안성시,8.7,3.1
경기도,성남시 분당구,8.7,2.4
경기도,하남시,8.7,1.5
경기도,여주시,8.7,2.5
경기도,부천시,8.7,3.5
경기도,광주시,8.7,3.1
경기도,시흥시,8.7,2.5
경기도,수원시 영통구,8.7,2.4
경기도,양주시,8.7,0.8
경기도,안산시 단원구,8.7,2.5
경기도,안양시 만안구,8.7,1.2
경기도,용인시 처인구,8.7,3.4
경기도,오산시,8.7,2.5
경기도,김포시,8.7,1.8
경기도,파주시,8.7,3.9
경기도,고양시 덕양구,8.7,1.8
경기도,의정부시,8.7,1.5
경기도,광명시,8.7,1.1
경기도,군포시,8.7,1.3
경기도,수원시 장안구,8.7,1.5
경기도,안산시 상록구,8.7,1.9
경기도,용인시 수지구,8.7,2.3
경기도,포천시,8.7,0.7
경기도,안양시 동안구,8.7,1.3
경기도,수원시 팔달구,8.7,1.3
경기도,성남시 중원구,8.7,1.1
경기도,구리시,8.7,1.0
경기도,성남시 수정구,8.7,1.3
경기도,의왕시,8.7,0.7
경기도,고양시 일산서구,8.7,0.7
경기도,양평군,8.7,0.7
경기도,고양시 일산동구,8.7,1.0
경기도,동두천시,8.7,0.2
경기도,가평군,8.7,0.2
경기도,과천시,8.7,0.2
경기도,연천군,8.7,0.1
경상남도,거제시,0.7,32.1
경상남도,김해시,0.7,9.3
경상남도,진주시,0.7,7.8
경상남도,창원시 마산회원구,0.7,2.7
경상남도,창원시 의창구,0.7,3.9
경상남도,양산시,0.7,8.6
경상남도,창원시 성산구,0.7,5.4
경상남도,창원시 마산합포구,0.7,2.1
경상남도,밀양시,0.7,2.2
경상남도,산청군,0.7,0.8
경상남도,사천시,0.7,7.3
경상남도,함안군,0.7,1.9
경상남도,통영시,0.7,3.3
경상남도,고성군,0.7,0.6
경상남도,창원시 진해구,0.7,5.9
경상남도,거창군,0.7,0.9
경상남도,하동군,0.7,1.0
경상남도,합천군,0.7,0.7
경상남도,남해군,0.7,0.3
경상남도,의령군,0.7,0.1
경상남도,창녕군,0.7,2.1
경상남도,함양군,0.7,1.0
경상북도,경주시,0.9,9.4
경상북도,구미시,0.9,21.1
경상북도,상주시,0.9,8.1
경상북도,안동시,0.9,6.4
경상북도,포항시 남구,0.9,6.8
경상북도,영주시,0.9,5.8
경상북도,문경시,0.9,7.1
경상북도,경산시,0.9,7.2
경상북도,김천시,0.9,6.3
경상북도,칠곡군,0.9,4.2
경상북도,영천시,0.9,2.1
경상북도,포항시 북구,0.9,6.7
경상북도,봉화군,0.9,0.9
경상북도,고령군,0.9,0.5
경상북도,군위군,0.9,0.4
경상북도,청송군,0.9,0.7
경상북도,예천군,0.9,2.0
경상북도,청도군,0.9,0.5
경상북도,울진군,0.9,1.1
경상북도,의성군,0.9,0.9
경상북도,영덕군,0.9,0.8
경상북도,성주군,0.9,0.5
경상북도,영양군,0.9,0.3
경상북도,울릉군,0.9,0.4
광주광역시,서구,0.3,27.9
광주광역시,북구,0.3,28.7
광주광역시,광산구,0.3,28.5
광주광역시,남구,0.3,9.8
광주광역시,동구,0.3,5.1
대구광역시,동구,0.5,18.0
대구광역시,북구,0.5,21.7
대구광역시,달서구,0.5,22.4
대구광역시,달성군,0.5,10.1
대구광역시,남구,0.5,8.9
대구광역시,수성구,0.5,13.4
대구광역시,서구,0.5,2.4
대구광역시,중구,0.5,3.1
대전광역시,서구,3.9,27.8
대전광역시,유성구,3.9,25.0
대전광역시,중구,3.9,14.2
대전광역시,대덕구,3.9,17.1
대전광역시,동구,3.9,15.9
부산광역시,연제구,0.5,9.7
부산광역시,남구,0.5,8.6
부산광역시,동래구,0.5,5.0
부산광역시,강서구,0.5,4.1
부산광역시,서구,0.5,3.6
부산광역시,영도구,0.5,6.9
부산광역시,수영구,0.5,6.4
부산광역시,동구,0.5,3.4
부산광역시,사상구,0.5,3.4
부산광역시,북구,0.5,7.0
부산광역시,부산진구,0.5,6.7
부산광역시,기장군,0.5,9.2
부산광역시,해운대구,0.5,9.5
부산광역시,금정구,0.5,4.2
부산광역시,사하구,0.5,10.2
부산광역시,중구,0.5,2.1
서울특별시,송파구,3.4,8.5
서울특별시,마포구,3.4,3.7
서울특별시,강서구,3.4,6.5
서울특별시,관악구,3.4,6.3
서울특별시,서초구,3.4,5.3
서울특별시,강남구,3.4,6.5
서울특별시,구로구,3.4,4.3
서울특별시,강동구,3.4,6.0
서울특별시,금천구,3.4,2.4
서울특별시,동작구,3.4,4.7
서울특별시,광진구,3.4,3.9
서울특별시,중랑구,3.4,3.9
서울특별시,동대문구,3.4,3.2
서울특별시,영등포구,3.4,5.1
서울특별시,은평구,3.4,3.8
서울특별시,노원구,3.4,4.3
서울특별시,서대문구,3.4,3.3
서울특별시,도봉구,3.4,1.9
서울특별시,양천구,3.4,2.9
서울특별시,성북구,3.4,4.1
서울특별시,중구,3.4,1.6
서울특별시,성동구,3.4,2.4
서울특별시,강북구,3.4,1.7
서울특별시,용산구,3.4,2.3
서울특별시,종로구,3.4,1.4
세종특별자치시,세종특별자치시,2.6,100.0
울산광역시,남구,0.2,28.2
울산광역시,울주군,0.2,22.0
울산광역시,북구,0.2,21.4
울산광역시,중구,0.2,15.0
울산광역시,동구,0.2,13.4
인천광역시,서구,1.0,17.2
인천광역시,중구,1.0,9.2
인천광역시,미추홀구,1.0,12.9
인천광역시,연수구,1.0,20.3
인천광역시,남동구,1.0,16.6
인천광역시,부평구,1.0,13.4
인천광역시,계양구,1.0,8.1
인천광역시,강화군,1.0,1.2
인천광역시,동구,1.0,0.8
인천광역시,옹진군,1.0,0.4
전라남도,여수시,0.4,19.1
전라남도,진도군,0.4,3.2
전라남도,순천시,0.4,12.8
전라남도,나주시,0.4,8.5
전라남도,화순군,0.4,3.0
전라남도,장성군,0.4,1.2
전라남도,강진군,0.4,0.6
전라남도,목포시,0.4,16.7
전라남도,장흥군,0.4,1.7
전라남도,광양시,0.4,9.3
전라남도,영암군,0.4,3.1
전라남도,해남군,0.4,3.1
전라남도,신안군,0.4,1.3
전라남도,보성군,0.4,0.4
전라남도,담양군,0.4,3.1
전라남도,무안군,0.4,3.4
전라남도,영광군,0.4,2.6
전라남도,완도군,0.4,3.3
전라남도,곡성군,0.4,0.9
전라남도,구례군,0.4,1.4
전라남도,함평군,0.4,0.3
전라남도,고흥군,0.4,0.9
전라북도,군산시,0.7,18.0
전라북도,전주시 덕진구,0.7,24.5
전라북도,익산시,0.7,21.0
전라북도,전주시 완산구,0.7,14.9
전라북도,완주군,0.7,6.3
전라북도,김제시,0.7,2.0
전라북도,남원시,0.7,1.8
전라북도,무주군,0.7,2.0
전라북도,고창군,0.7,1.3
전라북도,진안군,0.7,0.8
전라북도,임실군,0.7,1.1
전라북도,부안군,0.7,0.8
전라북도,정읍시,0.7,3.9
전라북도,순창군,0.7,1.0
전라북도,장수군,0.7,0.5
제주특별자치도,제주시,0.2,67.0
제주특별자치도,서귀포시,0.2,33.0
충청남도,천안시 동남구,3.5,21.5
충청남도,천안시 서북구,3.5,23.1
충청남도,아산시,3.5,24.1
충청남도,공주시,3.5,5.3
충청남도,당진시,3.5,5.3
충청남도,계룡시,3.5,2.0
충청남도,논산시,3.5,2.8
충청남도,홍성군,3.5,1.9
충청남도,금산군,3.5,2.5
충청남도,서산시,3.5,4.5
충청남도,보령시,3.5,1.9
충청남도,부여군,3.5,1.3
충청남도,청양군,3.5,0.8
충청남도,서천군,3.5,0.9
충청남도,태안군,3.5,0.8
충청남도,예산군,3.5,1.4
충청북도,청주시 서원구,71.9,37.7
충청북도,청주시 청원구,71.9,36.3
충청북도,청주시 상당구,71.9,16.8
충청북도,증평군,71.9,2.2
충청북도,진천군,71.9,2.0
충청북도,음성군,71.9,1.8
충청북도,충주시,71.9,1.1
충청북도,괴산군,71.9,0.6
충청북도,보은군,71.9,0.5
충청북도,제천시,71.9,0.3
충청북도,옥천군,71.9,0.2
충청북도,영동군,71.9,0.1
충청북도,단양군,71.9,0.1
충청북도,청주시 흥덕구,71.9,0.4
