광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,2.3,24.2
강원도,춘천시,2.3,21.4
강원도,강릉시,2.3,15.8
강원도,속초시,2.3,6.0
강원도,고성군,2.3,2.6
강원도,삼척시,2.3,2.8
강원도,홍천군,2.3,3.4
강원도,동해시,2.3,4.9
강원도,횡성군,2.3,1.9
강원도,양구군,2.3,1.2
강원도,영월군,2.3,1.0
강원도,양양군,2.3,2.5
강원도,인제군,2.3,1.7
강원도,정선군,2.3,1.9
강원도,태백시,2.3,2.0
강원도,화천군,2.3,1.0
강원도,철원군,2.3,2.3
강원도,평창군,2.3,3.1
경기도,화성시,25.8,6.4
경기도,부천시,25.8,5.9
경기도,성남시 분당구,25.8,5.7
경기도,남양주시,25.8,4.9
경기도,수원시 영통구,25.8,3.5
경기도,김포시,25.8,3.8
경기도,용인시 수지구,25.8,3.7
경기도,용인시 기흥구,25.8,3.8
경기도,고양시 덕양구,25.8,3.7
경기도,광주시,25.8,2.8
경기도,시흥시,25.8,2.6
경기도,고양시 일산동구,25.8,3.0
경기도,안양시 동안구,25.8,2.6
경기도,하남시,25.8,2.8
경기도,파주시,25.8,2.8
경기도,의정부시,25.8,3.1
경기도,수원시 권선구,25.8,2.9
경기도,고양시 일산서구,25.8,2.4
경기도,구리시,25.8,1.8
경기도,평택시,25.8,3.1
경기도,군포시,25.8,2.1
경기도,안산시 상록구,25.8,1.9
경기도,성남시 수정구,25.8,1.9
경기도,광명시,25.8,2.1
경기도,용인시 처인구,25.8,1.9
경기도,안산시 단원구,25.8,1.8
경기도,의왕시,25.8,1.4
경기도,성남시 중원구,25.8,1.3
경기도,수원시 장안구,25.8,1.9
경기도,이천시,25.8,1.6
경기도,수원시 팔달구,25.8,1.4
경기도,양주시,25.8,1.4
경기도,안양시 만안구,25.8,1.6
경기도,과천시,25.8,0.9
경기도,오산시,25.8,1.2
경기도,여주시,25.8,0.6
경기도,안성시,25.8,1.1
경기도,양평군,25.8,0.8
경기도,포천시,25.8,0.8
경기도,동두천시,25.8,0.5
경기도,연천군,25.8,0.2
경기도,가평군,25.8,0.3
경상남도,김해시,4.0,17.0
경상남도,진주시,4.0,10.3
경상남도,창원시 성산구,4.0,10.1
경상남도,창원시 의창구,4.0,8.0
경상남도,거제시,4.0,8.4
경상남도,양산시,4.0,10.1
경상남도,창원시 진해구,4.0,5.3
경상남도,창원시 마산합포구,4.0,5.4
경상남도,통영시,4.0,4.4
경상남도,창원시 마산회원구,4.0,5.6
경상남도,사천시,4.0,2.9
경상남도,밀양시,4.0,2.8
경상남도,창녕군,4.0,1.6
경상남도,함안군,4.0,1.7
경상남도,고성군,4.0,0.9
경상남도,남해군,4.0,0.8
경상남도,거창군,4.0,1.2
경상남도,합천군,4.0,0.8
경상남도,의령군,4.0,0.5
경상남도,하동군,4.0,0.6
경상남도,함양군,4.0,0.9
경상남도,산청군,4.0,0.7
경상북도,구미시,3.0,15.1
경상북도,경산시,3.0,15.1
경상북도,경주시,3.0,10.4
경상북도,포항시 남구,3.0,10.0
경상북도,포항시 북구,3.0,11.9
경상북도,안동시,3.0,6.5
경상북도,김천시,3.0,4.8
경상북도,영천시,3.0,2.9
경상북도,영덕군,3.0,1.4
경상북도,영주시,3.0,3.3
경상북도,울릉군,3.0,0.6
경상북도,칠곡군,3.0,3.3
경상북도,상주시,3.0,2.9
경상북도,예천군,3.0,1.9
경상북도,울진군,3.0,1.6
