유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
서울특별시 , 제주특별자치도,28.7,1
전라남도 , 제주특별자치도,24.0,1
경기도 , 제주특별자치도,13.2,1
충청북도 , 제주특별자치도,5.5,1
부산광역시 , 제주특별자치도,4.7,1
대구광역시 , 제주특별자치도,4.0,1
경상남도 , 제주특별자치도,3.8,1
인천광역시 , 제주특별자치도,3.6,1
광주광역시 , 제주특별자치도,2.6,1
전라북도 , 제주특별자치도,2.1,1
충청남도 , 제주특별자치도,1.8,1
경상북도 , 제주특별자치도,1.8,1
강원도 , 제주특별자치도,1.7,1
대전광역시 , 제주특별자치도,1.0,1
울산광역시 , 제주특별자치도,0.9,1
세종특별자치시 , 제주특별자치도,0.4,1
 제주특별자치도,경기도,20.1,2
 제주특별자치도,전라남도,18.1,2
 제주특별자치도,서울특별시,14.9,2
 제주특별자치도,대구광역시,6.0,2
 제주특별자치도,경상남도,5.9,2
 제주특별자치도,충청북도,5.4,2
 제주특별자치도,부산광역시,5.3,2
 제주특별자치도,충청남도,4.5,2
 제주특별자치도,인천광역시,4.3,2
 제주특별자치도,강원도,3.2,2
 제주특별자치도,전라북도,3.1,2
 제주특별자치도,광주광역시,2.7,2
 제주특별자치도,경상북도,2.1,2
 제주특별자치도,대전광역시,2.0,2
 제주특별자치도,울산광역시,1.6,2
 제주특별자치도,세종특별자치시,0.5,2
