순위,관광지명,주소,분류,
1,이마트/대전터미널점,대전 동구 동서대로 1689-0,쇼핑,대전광역시 동구
2,홈플러스/대전가오점,대전 동구 은어송로 72-0,쇼핑,대전광역시 동구
3,대전중앙시장,대전 동구 대전로785번길 26-0,쇼핑,대전광역시 동구
4,홈플러스/동대전점,대전 동구 한밭대로 1282-0,쇼핑,대전광역시 동구
5,해돋이전망대,대전 동구,기타관광지,대전광역시 동구
6,대전역동광장,대전 동구 새둑길 143-0,기타관광지,대전광역시 동구
7,식장산,대전 동구,자연관광지,대전광역시 동구
8,만인산자연휴양림,대전 동구 산내로 106-0,자연관광지,대전광역시 동구
9,옛터민속박물관,대전 동구 산내로 321-35,문화시설,대전광역시 동구
10,대동하늘공원,대전 동구,자연관광지,대전광역시 동구
11,상소동산림욕장,대전 동구 산내로 748-0,자연관광지,대전광역시 동구
12,다이소/대전본점,대전 동구 동서대로1695번길 8-0,쇼핑,대전광역시 동구
13,대청호오백리길/4구간,대전 동구,레포츠(육상/해상/항공),대전광역시 동구
14,세천유원지,대전 동구 세천공원로 68-0,휴양관광지,대전광역시 동구
15,대청호자연수변공원,대전 동구 대청호수로545번길 0-0,자연관광지,대전광역시 동구
16,우암사적공원,대전 동구 충정로 53-0,자연관광지,대전광역시 동구
17,패션아일랜드/대전점,대전 동구 은어송로 72-0,쇼핑,대전광역시 동구
18,해돋이전망대,대전 동구,문화관광,대전광역시 동구
19,다이소/대전판암점,대전 동구 옥천로 122-0,쇼핑,대전광역시 동구
20,용운국제수영장,대전 동구 동부로 138-0,기타관광지,대전광역시 동구
21,신세계스타일마켓/대전점,대전 동구 동서대로 1689-0,쇼핑,대전광역시 동구
22,캠핑고래/대전점,대전 동구 산내로1257번길 45-0,쇼핑,대전광역시 동구
23,식장산,대전 동구,자연관광,대전광역시 동구
24,CGV/대전터미널,대전 동구 동서대로1695번길 30-0,공연/행사,대전광역시 동구
25,청정식자재전문마트,대전 동구 옛신탄진로 10-30,쇼핑,대전광역시 동구
26,옛터민속박물관,대전 동구 산내로 321-35,문화관광,대전광역시 동구
27,마산동쉼터,대전 동구,기타관광지,대전광역시 동구
28,만인산자연휴양림,대전 동구 산내로 106-0,자연관광,대전광역시 동구
29,대전전통나래관,대전 동구 철갑2길 2-0,문화시설,대전광역시 동구
30,다이소/대전가오점,대전 동구 대전로 417-0,쇼핑,대전광역시 동구
31,반누리반품닷컴/대전점,대전 동구 물류로 4-0,쇼핑,대전광역시 동구
32,대전역동광장,대전 동구 새둑길 143-0,기타관광,대전광역시 동구
33,상소동산림욕장,대전 동구 산내로 748-0,자연관광,대전광역시 동구
34,다비치안경/대전역점,대전 동구 중앙로 198-0,쇼핑,대전광역시 동구
35,롯데하이마트/판암점,대전 동구 옥천로 87-0,쇼핑,대전광역시 동구
36,동구국민체육센터,대전 동구 가양로 9-0,레포츠(육상/해상/항공),대전광역시 동구
37,리오더웨어하우스,대전 동구 물류로 4-0,쇼핑,대전광역시 동구
38,하나로마트/동대전농협,대전 동구 계족로 63-0,쇼핑,대전광역시 동구
39,대동하늘공원,대전 동구,문화관광,대전광역시 동구
40,대청호벚꽃축제,대전 동구,기타관광지,대전광역시 동구
41,롯데하이마트/용전점,대전 동구 한밭대로 1262-0,쇼핑,대전광역시 동구
42,세천유원지,대전 동구 세천공원로 68-0,문화관광,대전광역시 동구
43,오동선대청호벚꽃길,대전 동구,기타관광지,대전광역시 동구
44,한밭교육박물관,대전 동구 우암로 96-0,문화관광,대전광역시 동구
45,대청호자연수변공원,대전 동구 대청호수로545번길 0-0,문화관광,대전광역시 동구
46,LG전자서비스센터/동대전점,대전 동구 한밭대로 1269-0,쇼핑,대전광역시 동구
47,CGV/대전가오,대전 동구 은어송로 72-0,공연/행사,대전광역시 동구
48,에스에이치몰,대전 동구 중앙로193번길 55-0,쇼핑,대전광역시 동구
49,다이소/대전보건대점,대전 동구 우암로 324-0,쇼핑,대전광역시 동구
50,명상정원,대전 동구,자연관광지,대전광역시 동구
51,대청호오백리길/4구간,대전 동구,레저스포츠,대전광역시 동구
52,한밭교육박물관,대전 동구 우암로 96-0,문화시설,대전광역시 동구
53,용운도서관,대전 동구 새울로68번길 23-23,문화시설,대전광역시 동구
54,CGV/대전터미널,대전 동구 동서대로1695번길 30-0,문화관광,대전광역시 동구
55,LG전자베스트샵/동대전본점,대전 동구 한밭대로 1269-0,쇼핑,대전광역시 동구
56,대청호오백리길/5구간,대전 동구,레포츠(육상/해상/항공),대전광역시 동구
57,쿠쿠/동대전서비스센터,대전 동구 계족로 514-0,쇼핑,대전광역시 동구
58,전자랜드프라이스킹/중리점,대전 동구 한밭대로 1211-0,쇼핑,대전광역시 동구
59,대청호자연생태관,대전 동구 천개동로 41-0,문화시설,대전광역시 동구
60,우암사적공원,대전 동구 충정로 53-0,문화관광,대전광역시 동구
61,JK레인즈,대전 동구 동대전로 67-0,레포츠(육상/해상/항공),대전광역시 동구
62,동양타일전시장,대전 동구 대전로 743-0,쇼핑,대전광역시 동구
63,태전마트,대전 동구 대전천동로 534-0,쇼핑,대전광역시 동구
64,현암상가시장,대전 동구,쇼핑,대전광역시 동구
65,엠제이쥬얼리,대전 동구 동서대로 1708-0,쇼핑,대전광역시 동구
66,나이키/대전제일점,대전 동구 중앙로 193-0,쇼핑,대전광역시 동구
67,슬픈연가촬영지,대전 동구,기타관광지,대전광역시 동구
68,CGV/대전가오,대전 동구 은어송로 72-0,문화관광,대전광역시 동구
69,가양도서관,대전 동구 우암로277번길 72-0,문화시설,대전광역시 동구
70,영풍문고/대전점,대전 동구 동서대로1695번길 30-0,쇼핑,대전광역시 동구
71,허브가든,대전 동구 동서대로 1629-28,쇼핑,대전광역시 동구
72,노브랜드/대전판암점,대전 동구 옥천로 178-0,쇼핑,대전광역시 동구
73,건담베이스/대전복합터미널점,대전 동구 동서대로1695번길 30-0,쇼핑,대전광역시 동구
74,이마트에브리데이/용방점,대전 동구 계족로140번길 183-0,쇼핑,대전광역시 동구
