광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,강릉시,0.7,10.2
강원도,양구군,0.7,1.6
강원도,영월군,0.7,1.2
강원도,춘천시,0.7,9.3
강원도,원주시,0.7,15.6
강원도,철원군,0.7,7.0
강원도,동해시,0.7,11.8
강원도,정선군,0.7,3.2
강원도,홍천군,0.7,7.7
강원도,속초시,0.7,10.5
강원도,양양군,0.7,4.5
강원도,횡성군,0.7,1.6
강원도,인제군,0.7,4.1
강원도,삼척시,0.7,3.6
강원도,평창군,0.7,3.2
강원도,태백시,0.7,3.2
강원도,고성군,0.7,1.6
경기도,화성시,6.6,6.5
경기도,성남시 중원구,6.6,1.8
경기도,용인시 기흥구,6.6,4.7
경기도,시흥시,6.6,3.9
경기도,부천시,6.6,3.6
경기도,성남시 분당구,6.6,6.6
경기도,용인시 수지구,6.6,4.1
경기도,평택시,6.6,3.9
경기도,의정부시,6.6,2.6
경기도,수원시 영통구,6.6,3.5
경기도,광주시,6.6,2.5
경기도,성남시 수정구,6.6,3.0
경기도,광명시,6.6,2.1
경기도,파주시,6.6,2.3
경기도,용인시 처인구,6.6,3.0
경기도,군포시,6.6,2.0
경기도,고양시 덕양구,6.6,3.0
경기도,수원시 권선구,6.6,2.3
경기도,이천시,6.6,2.0
경기도,양평군,6.6,1.1
경기도,하남시,6.6,1.9
경기도,고양시 일산동구,6.6,3.7
경기도,과천시,6.6,1.5
경기도,남양주시,6.6,4.4
경기도,오산시,6.6,1.4
경기도,안성시,6.6,0.7
경기도,수원시 팔달구,6.6,1.4
경기도,안산시 상록구,6.6,1.1
경기도,의왕시,6.6,0.7
경기도,여주시,6.6,1.2
경기도,구리시,6.6,1.3
경기도,안양시 만안구,6.6,1.0
경기도,안양시 동안구,6.6,2.8
경기도,양주시,6.6,1.5
경기도,수원시 장안구,6.6,1.6
경기도,안산시 단원구,6.6,1.7
경기도,고양시 일산서구,6.6,2.4
경기도,김포시,6.6,2.0
경기도,연천군,6.6,1.0
경기도,동두천시,6.6,0.4
경기도,포천시,6.6,1.1
경기도,가평군,6.6,0.4
경상남도,진주시,56.0,47.9
경상남도,거제시,56.0,6.3
경상남도,김해시,56.0,5.5
경상남도,창원시 의창구,56.0,3.4
경상남도,창원시 성산구,56.0,4.3
경상남도,사천시,56.0,5.1
경상남도,하동군,56.0,5.9
경상남도,창원시 마산회원구,56.0,3.0
경상남도,통영시,56.0,2.2
경상남도,창원시 마산합포구,56.0,2.6
경상남도,양산시,56.0,1.7
경상남도,창원시 진해구,56.0,1.9
경상남도,함양군,56.0,2.3
경상남도,의령군,56.0,1.2
경상남도,함안군,56.0,1.3
경상남도,고성군,56.0,0.9
경상남도,거창군,56.0,1.3
경상남도,합천군,56.0,1.1
경상남도,창녕군,56.0,0.7
경상남도,남해군,56.0,0.6
경상남도,밀양시,56.0,0.6
경상남도,산청군,56.0,0.2
경상북도,경산시,2.7,21.6
경상북도,구미시,2.7,9.8
경상북도,경주시,2.7,15.0
경상북도,포항시 북구,2.7,6.9
경상북도,포항시 남구,2.7,6.0
경상북도,칠곡군,2.7,3.5
경상북도,김천시,2.7,5.9
경상북도,상주시,2.7,3.1
경상북도,청송군,2.7,1.1
경상북도,영주시,2.7,0.7
경상북도,영천시,2.7,3.8
경상북도,안동시,2.7,3.2
경상북도,봉화군,2.7,1.9
경상북도,청도군,2.7,2.4
경상북도,고령군,2.7,1.7
경상북도,의성군,2.7,1.9
경상북도,예천군,2.7,1.4
경상북도,울진군,2.7,3.7
경상북도,성주군,2.7,1.8
