유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
부산광역시 , 울산광역시,40.7,1
경상북도 , 울산광역시,30.8,1
경상남도 , 울산광역시,22.7,1
대구광역시 , 울산광역시,3.2,1
경기도 , 울산광역시,0.8,1
충청북도 , 울산광역시,0.5,1
서울특별시 , 울산광역시,0.3,1
전라남도 , 울산광역시,0.2,1
충청남도 , 울산광역시,0.2,1
대전광역시 , 울산광역시,0.2,1
강원도 , 울산광역시,0.1,1
전라북도 , 울산광역시,0.1,1
인천광역시 , 울산광역시,0.1,1
광주광역시 , 울산광역시,0.1,1
세종특별자치시 , 울산광역시,0.0,1
제주특별자치도 , 울산광역시,0.0,1
 울산광역시,부산광역시,47.6,2
 울산광역시,경상북도,29.2,2
 울산광역시,경상남도,19.0,2
 울산광역시,대구광역시,2.1,2
 울산광역시,전라남도,0.5,2
 울산광역시,강원도,0.4,2
 울산광역시,경기도,0.3,2
 울산광역시,충청북도,0.2,2
 울산광역시,충청남도,0.2,2
 울산광역시,서울특별시,0.2,2
 울산광역시,전라북도,0.1,2
 울산광역시,대전광역시,0.1,2
 울산광역시,인천광역시,0.1,2
 울산광역시,광주광역시,0.0,2
 울산광역시,세종특별자치시,0.0,2
 울산광역시,제주특별자치도,0.0,2
